selection1_movie,selection1_url
The Great Escape,https://www.imdb.com/title/tt0057115/?ref_=chttp_t_158
The Elephant Man,https://www.imdb.com/title/tt0080678/?ref_=chttp_t_159
Monty Python and the Holy Grail,https://www.imdb.com/title/tt0071853/?ref_=chttp_t_160
The Best of Youth,https://www.imdb.com/title/tt0346336/?ref_=chttp_t_161
Dial M for Murder,https://www.imdb.com/title/tt0046912/?ref_=chttp_t_162
The Chaos Class Failed the Class,https://www.imdb.com/title/tt0252488/?ref_=chttp_t_163
Gone with the Wind,https://www.imdb.com/title/tt0031381/?ref_=chttp_t_164
The Secret in Their Eyes,https://www.imdb.com/title/tt1305806/?ref_=chttp_t_165
Demon Slayer: Kimetsu no Yaiba Infinity Castle,https://www.imdb.com/title/tt32820897/?ref_=chttp_t_166
Chinatown,https://www.imdb.com/title/tt0071315/?ref_=chttp_t_167
"Lock, Stock and Two Smoking Barrels",https://www.imdb.com/title/tt0120735/?ref_=chttp_t_168
V for Vendetta,https://www.imdb.com/title/tt0434409/?ref_=chttp_t_169
Inside Out,https://www.imdb.com/title/tt2096673/?ref_=chttp_t_170
Catch Me If You Can,https://www.imdb.com/title/tt0264464/?ref_=chttp_t_171
Rashomon,https://www.imdb.com/title/tt0042876/?ref_=chttp_t_172
"Three Billboards Outside Ebbing, Missouri",https://www.imdb.com/title/tt5027774/?ref_=chttp_t_173
Trainspotting,https://www.imdb.com/title/tt0117951/?ref_=chttp_t_174
The Bridge on the River Kwai,https://www.imdb.com/title/tt0050212/?ref_=chttp_t_175
Harry Potter and the Deathly Hallows: Part 2,https://www.imdb.com/title/tt1201607/?ref_=chttp_t_176
Dead Poets Society,https://www.imdb.com/title/tt0097165/?ref_=chttp_t_177
Fargo,https://www.imdb.com/title/tt0116282/?ref_=chttp_t_178
The Wild Robot,https://www.imdb.com/title/tt29623480/?ref_=chttp_t_179
Warrior,https://www.imdb.com/title/tt1291584/?ref_=chttp_t_180
Raging Bull,https://www.imdb.com/title/tt0081398/?ref_=chttp_t_181
Barry Lyndon,https://www.imdb.com/title/tt0072684/?ref_=chttp_t_182
Ben-Hur,https://www.imdb.com/title/tt0052618/?ref_=chttp_t_183
Million Dollar Baby,https://www.imdb.com/title/tt0405159/?ref_=chttp_t_184
Mad Max: Fury Road,https://www.imdb.com/title/tt1392190/?ref_=chttp_t_185
Gran Torino,https://www.imdb.com/title/tt1205489/?ref_=chttp_t_186
My Neighbor Totoro,https://www.imdb.com/title/tt0096283/?ref_=chttp_t_187
Children of Heaven,https://www.imdb.com/title/tt0118849/?ref_=chttp_t_188
Hacksaw Ridge,https://www.imdb.com/title/tt2119532/?ref_=chttp_t_189
12 Years a Slave,https://www.imdb.com/title/tt2024544/?ref_=chttp_t_190
The Grand Budapest Hotel,https://www.imdb.com/title/tt2278388/?ref_=chttp_t_191
Before Sunrise,https://www.imdb.com/title/tt0112471/?ref_=chttp_t_192
Ratatouille,https://www.imdb.com/title/tt0382932/?ref_=chttp_t_193
Blade Runner,https://www.imdb.com/title/tt0083658/?ref_=chttp_t_194
Memories of Murder,https://www.imdb.com/title/tt0353969/?ref_=chttp_t_195
How to Train Your Dragon,https://www.imdb.com/title/tt0892769/?ref_=chttp_t_196
Spider-Man: No Way Home,https://www.imdb.com/title/tt10872600/?ref_=chttp_t_197
Gone Girl,https://www.imdb.com/title/tt2267998/?ref_=chttp_t_198
"Monsters, Inc.",https://www.imdb.com/title/tt0198781/?ref_=chttp_t_199
Jaws,https://www.imdb.com/title/tt0073195/?ref_=chttp_t_200
In the Name of the Father,https://www.imdb.com/title/tt0107207/?ref_=chttp_t_201
Ford v Ferrari,https://www.imdb.com/title/tt1950186/?ref_=chttp_t_202
Wild Tales,https://www.imdb.com/title/tt3011894/?ref_=chttp_t_203
The Gold Rush,https://www.imdb.com/title/tt0015864/?ref_=chttp_t_204
Sherlock Jr.,https://www.imdb.com/title/tt0015324/?ref_=chttp_t_205
Mary and Max,https://www.imdb.com/title/tt0978762/?ref_=chttp_t_206
The Deer Hunter,https://www.imdb.com/title/tt0077416/?ref_=chttp_t_207
The Wages of Fear,https://www.imdb.com/title/tt0046268/?ref_=chttp_t_208
The General,https://www.imdb.com/title/tt0017925/?ref_=chttp_t_209
Logan,https://www.imdb.com/title/tt3315342/?ref_=chttp_t_210
Mr. Smith Goes to Washington,https://www.imdb.com/title/tt0031679/?ref_=chttp_t_211
Rocky,https://www.imdb.com/title/tt0075148/?ref_=chttp_t_212
On the Waterfront,https://www.imdb.com/title/tt0047296/?ref_=chttp_t_213
Tokyo Story,https://www.imdb.com/title/tt0046438/?ref_=chttp_t_214
Pirates of the Caribbean: The Curse of the Black Pearl,https://www.imdb.com/title/tt0325980/?ref_=chttp_t_215
Wild Strawberries,https://www.imdb.com/title/tt0050986/?ref_=chttp_t_216
Spotlight,https://www.imdb.com/title/tt1895587/?ref_=chttp_t_217
La haine,https://www.imdb.com/title/tt0113247/?ref_=chttp_t_218
The Third Man,https://www.imdb.com/title/tt0041959/?ref_=chttp_t_219
Jai Bhim,https://www.imdb.com/title/tt15097216/?ref_=chttp_t_220
The Terminator,https://www.imdb.com/title/tt0088247/?ref_=chttp_t_221
Maharaja,https://www.imdb.com/title/tt26548265/?ref_=chttp_t_222
A Silent Voice: The Movie,https://www.imdb.com/title/tt5323662/?ref_=chttp_t_223
The Sound of Music,https://www.imdb.com/title/tt0059742/?ref_=chttp_t_224
The Big Lebowski,https://www.imdb.com/title/tt0118715/?ref_=chttp_t_225
The Best Years of Our Lives,https://www.imdb.com/title/tt0036868/?ref_=chttp_t_226
The Seventh Seal,https://www.imdb.com/title/tt0050976/?ref_=chttp_t_227
Room,https://www.imdb.com/title/tt3170832/?ref_=chttp_t_228
Chainsaw Man - The Movie: Reze Arc,https://www.imdb.com/title/tt30472557/?ref_=chttp_t_229
Before Sunset,https://www.imdb.com/title/tt0381681/?ref_=chttp_t_230
Hotel Rwanda,https://www.imdb.com/title/tt0395169/?ref_=chttp_t_231
Platoon,https://www.imdb.com/title/tt0091763/?ref_=chttp_t_232
Marty Supreme,https://www.imdb.com/title/tt32916440/?ref_=chttp_t_233
The Incredibles,https://www.imdb.com/title/tt0317705/?ref_=chttp_t_234
Hachi: A Dog's Tale,https://www.imdb.com/title/tt1028532/?ref_=chttp_t_235
The Exorcist,https://www.imdb.com/title/tt0070047/?ref_=chttp_t_236
Rush,https://www.imdb.com/title/tt1979320/?ref_=chttp_t_237
The Wizard of Oz,https://www.imdb.com/title/tt0032138/?ref_=chttp_t_238
Stand by Me,https://www.imdb.com/title/tt0092005/?ref_=chttp_t_239
The Iron Giant,https://www.imdb.com/title/tt0129167/?ref_=chttp_t_240
The Passion of Joan of Arc,https://www.imdb.com/title/tt0019254/?ref_=chttp_t_241
My Father and My Son,https://www.imdb.com/title/tt0476735/?ref_=chttp_t_242
The Battle of Algiers,https://www.imdb.com/title/tt0058946/?ref_=chttp_t_243
The Handmaiden,https://www.imdb.com/title/tt4016934/?ref_=chttp_t_244
Network,https://www.imdb.com/title/tt0074958/?ref_=chttp_t_245
Gangs of Wasseypur,https://www.imdb.com/title/tt1954470/?ref_=chttp_t_246
To Be or Not to Be,https://www.imdb.com/title/tt0035446/?ref_=chttp_t_247
The Grapes of Wrath,https://www.imdb.com/title/tt0032551/?ref_=chttp_t_248
Drishyam,https://www.imdb.com/title/tt4430212/?ref_=chttp_t_249
Dhurandhar,https://www.imdb.com/title/tt33014583/?ref_=chttp_t_250
